Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,41400,56240,https://fangjia.gotohui.com/fjdata-2501
2026-03,42200,55971,https://fangjia.gotohui.com/fjdata-2501
2026-02,43100,55706,https://fangjia.gotohui.com/fjdata-2501
2026-01,43900,55509,https://fangjia.gotohui.com/fjdata-2501
2025-12,44200,55866,https://fangjia.gotohui.com/years/2501/2025/
2025-11,43400,54868,https://fangjia.gotohui.com/years/2501/2025/
2025-10,44100,55915,https://fangjia.gotohui.com/years/2501/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2501/2025/
2025-09,45800,55999,https://fangjia.gotohui.com/years/2501/2025/
2025-08,46000,57848,https://fangjia.gotohui.com/years/2501/2025/
2025-07,44800,58947,https://fangjia.gotohui.com/years/2501/2025/
2025-06,45300,57975,https://fangjia.gotohui.com/years/2501/2025/
2025-05,45800,58033,https://fangjia.gotohui.com/years/2501/2025/
2025-04,45400,56360,https://fangjia.gotohui.com/years/2501/2025/
2025-03,45300,53393,https://fangjia.gotohui.com/years/2501/2025/
2025-02,47544,53774,https://fangjia.gotohui.com/years/2501/2025/
2025-01,47836,53696,https://fangjia.gotohui.com/years/2501/2025/
2024-12,46697,52818,https://fangjia.gotohui.com/years/2501/2024/
2024-11,48091,54064,https://fangjia.gotohui.com/years/2501/2024/
2024-10,47739,52942,https://fangjia.gotohui.com/years/2501/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2501/2024/
2024-09,48490,51762,https://fangjia.gotohui.com/years/2501/2024/
2024-08,50145,54046,https://fangjia.gotohui.com/years/2501/2024/
2024-07,49041,54112,https://fangjia.gotohui.com/years/2501/2024/
2024-06,49493,52038,https://fangjia.gotohui.com/years/2501/2024/
2024-05,49455,53078,https://fangjia.gotohui.com/years/2501/2024/
2024-04,49659,50931,https://fangjia.gotohui.com/years/2501/2024/
2024-03,49042,52545,https://fangjia.gotohui.com/years/2501/2024/
2024-02,50576,52563,https://fangjia.gotohui.com/years/2501/2024/
2024-01,51956,53548,https://fangjia.gotohui.com/years/2501/2024/
2023-12,49745,52886,https://fangjia.gotohui.com/years/2501/2023/
2023-11,50519,55301,https://fangjia.gotohui.com/years/2501/2023/
2023-10,53034,54272,https://fangjia.gotohui.com/years/2501/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2501/2023/
2023-09,53636,55375,https://fangjia.gotohui.com/years/2501/2023/
2023-08,52372,55030,https://fangjia.gotohui.com/years/2501/2023/
2023-07,50172,56258,https://fangjia.gotohui.com/years/2501/2023/
2023-06,52686,56385,https://fangjia.gotohui.com/years/2501/2023/
2023-05,52261,55712,https://fangjia.gotohui.com/years/2501/2023/
2023-04,54462,0,https://fangjia.gotohui.com/years/2501/2023/
2023-03,53400,56033,https://fangjia.gotohui.com/years/2501/2023/
2023-02,52628,56849,https://fangjia.gotohui.com/years/2501/2023/
2023-01,50921,59309,https://fangjia.gotohui.com/years/2501/2023/
