Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,70400,49404,https://fangjia.gotohui.com/fjdata-2500
2026-03,72600,49174,https://fangjia.gotohui.com/fjdata-2500
2026-02,67400,49773,https://fangjia.gotohui.com/fjdata-2500
2026-01,71500,132769,https://fangjia.gotohui.com/fjdata-2500
2025-12,68700,133720,https://fangjia.gotohui.com/years/2500/2025/
2025-11,69800,133805,https://fangjia.gotohui.com/years/2500/2025/
2025-10,69400,133669,https://fangjia.gotohui.com/years/2500/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2500/2025/
2025-09,70900,138278,https://fangjia.gotohui.com/years/2500/2025/
2025-08,77800,137834,https://fangjia.gotohui.com/years/2500/2025/
2025-07,74300,138736,https://fangjia.gotohui.com/years/2500/2025/
2025-06,74200,108895,https://fangjia.gotohui.com/years/2500/2025/
2025-05,75100,143104,https://fangjia.gotohui.com/years/2500/2025/
2025-04,78200,142861,https://fangjia.gotohui.com/years/2500/2025/
2025-03,81000,146551,https://fangjia.gotohui.com/years/2500/2025/
2025-02,81747,101350,https://fangjia.gotohui.com/years/2500/2025/
2025-01,80276,101275,https://fangjia.gotohui.com/years/2500/2025/
2024-12,78596,101707,https://fangjia.gotohui.com/years/2500/2024/
2024-11,81041,100486,https://fangjia.gotohui.com/years/2500/2024/
2024-10,78283,131766,https://fangjia.gotohui.com/years/2500/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2500/2024/
2024-09,77933,128894,https://fangjia.gotohui.com/years/2500/2024/
2024-08,80105,128465,https://fangjia.gotohui.com/years/2500/2024/
2024-07,79946,130886,https://fangjia.gotohui.com/years/2500/2024/
2024-06,80557,130785,https://fangjia.gotohui.com/years/2500/2024/
2024-05,81895,129269,https://fangjia.gotohui.com/years/2500/2024/
2024-04,79352,129965,https://fangjia.gotohui.com/years/2500/2024/
2024-03,83887,130281,https://fangjia.gotohui.com/years/2500/2024/
2024-02,82949,129946,https://fangjia.gotohui.com/years/2500/2024/
2024-01,84771,130698,https://fangjia.gotohui.com/years/2500/2024/
2023-12,85744,131295,https://fangjia.gotohui.com/years/2500/2023/
2023-11,85853,130284,https://fangjia.gotohui.com/years/2500/2023/
2023-10,85113,129207,https://fangjia.gotohui.com/years/2500/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2500/2023/
2023-09,85862,131562,https://fangjia.gotohui.com/years/2500/2023/
2023-08,82446,129514,https://fangjia.gotohui.com/years/2500/2023/
2023-07,83488,130915,https://fangjia.gotohui.com/years/2500/2023/
2023-06,88514,0,https://fangjia.gotohui.com/years/2500/2023/
2023-05,88090,0,https://fangjia.gotohui.com/years/2500/2023/
2023-04,85763,0,https://fangjia.gotohui.com/years/2500/2023/
2023-03,90001,0,https://fangjia.gotohui.com/years/2500/2023/
2023-02,90771,0,https://fangjia.gotohui.com/years/2500/2023/
2023-01,86385,0,https://fangjia.gotohui.com/years/2500/2023/
