Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,18700,29633,https://fangjia.gotohui.com/fjdata-2502
2026-03,20400,29717,https://fangjia.gotohui.com/fjdata-2502
2026-02,18900,29843,https://fangjia.gotohui.com/fjdata-2502
2026-01,20200,29900,https://fangjia.gotohui.com/fjdata-2502
2025-12,18400,29684,https://fangjia.gotohui.com/years/2502/2025/
2025-11,18400,30006,https://fangjia.gotohui.com/years/2502/2025/
2025-10,17600,30004,https://fangjia.gotohui.com/years/2502/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2502/2025/
2025-09,15500,30024,https://fangjia.gotohui.com/years/2502/2025/
2025-08,17700,31340,https://fangjia.gotohui.com/years/2502/2025/
2025-07,18000,29719,https://fangjia.gotohui.com/years/2502/2025/
2025-06,18400,29717,https://fangjia.gotohui.com/years/2502/2025/
2025-05,18200,29644,https://fangjia.gotohui.com/years/2502/2025/
2025-04,17500,30223,https://fangjia.gotohui.com/years/2502/2025/
2025-03,16600,29182,https://fangjia.gotohui.com/years/2502/2025/
2025-02,17014,29231,https://fangjia.gotohui.com/years/2502/2025/
2025-01,18440,29139,https://fangjia.gotohui.com/years/2502/2025/
2024-12,17945,29134,https://fangjia.gotohui.com/years/2502/2024/
2024-11,18329,29148,https://fangjia.gotohui.com/years/2502/2024/
2024-10,16534,29076,https://fangjia.gotohui.com/years/2502/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2502/2024/
2024-09,16236,29374,https://fangjia.gotohui.com/years/2502/2024/
2024-08,16547,29200,https://fangjia.gotohui.com/years/2502/2024/
2024-07,16835,28947,https://fangjia.gotohui.com/years/2502/2024/
2024-06,16711,29070,https://fangjia.gotohui.com/years/2502/2024/
2024-05,17719,29365,https://fangjia.gotohui.com/years/2502/2024/
2024-04,18134,29814,https://fangjia.gotohui.com/years/2502/2024/
2024-03,16653,30064,https://fangjia.gotohui.com/years/2502/2024/
2024-02,16547,29690,https://fangjia.gotohui.com/years/2502/2024/
2024-01,17421,29098,https://fangjia.gotohui.com/years/2502/2024/
2023-12,17246,29030,https://fangjia.gotohui.com/years/2502/2023/
2023-11,17822,28322,https://fangjia.gotohui.com/years/2502/2023/
2023-10,18691,28729,https://fangjia.gotohui.com/years/2502/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2502/2023/
2023-09,18386,28779,https://fangjia.gotohui.com/years/2502/2023/
2023-08,18082,29667,https://fangjia.gotohui.com/years/2502/2023/
2023-07,19113,29329,https://fangjia.gotohui.com/years/2502/2023/
2023-06,18632,29120,https://fangjia.gotohui.com/years/2502/2023/
2023-05,19269,29047,https://fangjia.gotohui.com/years/2502/2023/
2023-04,18557,28741,https://fangjia.gotohui.com/years/2502/2023/
2023-03,18597,28654,https://fangjia.gotohui.com/years/2502/2023/
2023-02,18980,29361,https://fangjia.gotohui.com/years/2502/2023/
2023-01,18994,30598,https://fangjia.gotohui.com/years/2502/2023/
