Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,22200,37465,https://fangjia.gotohui.com/fjdata-2499
2026-03,24000,37513,https://fangjia.gotohui.com/fjdata-2499
2026-02,24300,37579,https://fangjia.gotohui.com/fjdata-2499
2026-01,25200,37741,https://fangjia.gotohui.com/fjdata-2499
2025-12,24200,37488,https://fangjia.gotohui.com/years/2499/2025/
2025-11,24200,37197,https://fangjia.gotohui.com/years/2499/2025/
2025-10,23900,38939,https://fangjia.gotohui.com/years/2499/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2499/2025/
2025-09,24700,39323,https://fangjia.gotohui.com/years/2499/2025/
2025-08,26000,38972,https://fangjia.gotohui.com/years/2499/2025/
2025-07,26900,39733,https://fangjia.gotohui.com/years/2499/2025/
2025-06,27400,37160,https://fangjia.gotohui.com/years/2499/2025/
2025-05,26600,37920,https://fangjia.gotohui.com/years/2499/2025/
2025-04,27300,36803,https://fangjia.gotohui.com/years/2499/2025/
2025-03,27500,36162,https://fangjia.gotohui.com/years/2499/2025/
2025-02,26075,35103,https://fangjia.gotohui.com/years/2499/2025/
2025-01,27855,35987,https://fangjia.gotohui.com/years/2499/2025/
2024-12,25304,35087,https://fangjia.gotohui.com/years/2499/2024/
2024-11,25334,35386,https://fangjia.gotohui.com/years/2499/2024/
2024-10,25706,35178,https://fangjia.gotohui.com/years/2499/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2499/2024/
2024-09,25544,35876,https://fangjia.gotohui.com/years/2499/2024/
2024-08,26321,35264,https://fangjia.gotohui.com/years/2499/2024/
2024-07,26095,35685,https://fangjia.gotohui.com/years/2499/2024/
2024-06,26991,35949,https://fangjia.gotohui.com/years/2499/2024/
2024-05,25348,35023,https://fangjia.gotohui.com/years/2499/2024/
2024-04,26264,35727,https://fangjia.gotohui.com/years/2499/2024/
2024-03,25670,35976,https://fangjia.gotohui.com/years/2499/2024/
2024-02,25081,34601,https://fangjia.gotohui.com/years/2499/2024/
2024-01,26755,33249,https://fangjia.gotohui.com/years/2499/2024/
2023-12,26981,32828,https://fangjia.gotohui.com/years/2499/2023/
2023-11,27671,33578,https://fangjia.gotohui.com/years/2499/2023/
2023-10,26917,33168,https://fangjia.gotohui.com/years/2499/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2499/2023/
2023-09,27325,32015,https://fangjia.gotohui.com/years/2499/2023/
2023-08,28133,34383,https://fangjia.gotohui.com/years/2499/2023/
2023-07,27232,32685,https://fangjia.gotohui.com/years/2499/2023/
2023-06,26857,32917,https://fangjia.gotohui.com/years/2499/2023/
2023-05,26943,32951,https://fangjia.gotohui.com/years/2499/2023/
2023-04,27046,33050,https://fangjia.gotohui.com/years/2499/2023/
2023-03,25758,32992,https://fangjia.gotohui.com/years/2499/2023/
2023-02,26673,34588,https://fangjia.gotohui.com/years/2499/2023/
2023-01,26259,36689,https://fangjia.gotohui.com/years/2499/2023/
