Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,66400,131275,https://fangjia.gotohui.com/fjdata-2498
2026-03,60100,128325,https://fangjia.gotohui.com/fjdata-2498
2026-02,65500,128055,https://fangjia.gotohui.com/fjdata-2498
2026-01,63100,129522,https://fangjia.gotohui.com/fjdata-2498
2025-12,62000,129450,https://fangjia.gotohui.com/years/2498/2025/
2025-11,65000,129434,https://fangjia.gotohui.com/years/2498/2025/
2025-10,68200,116501,https://fangjia.gotohui.com/years/2498/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2498/2025/
2025-09,72600,119209,https://fangjia.gotohui.com/years/2498/2025/
2025-08,73800,118978,https://fangjia.gotohui.com/years/2498/2025/
2025-07,83100,119077,https://fangjia.gotohui.com/years/2498/2025/
2025-06,73500,119265,https://fangjia.gotohui.com/years/2498/2025/
2025-05,68300,120604,https://fangjia.gotohui.com/years/2498/2025/
2025-04,69700,112200,https://fangjia.gotohui.com/years/2498/2025/
2025-03,70400,117787,https://fangjia.gotohui.com/years/2498/2025/
2025-02,72098,128792,https://fangjia.gotohui.com/years/2498/2025/
2025-01,74557,132228,https://fangjia.gotohui.com/years/2498/2025/
2024-12,77465,138297,https://fangjia.gotohui.com/years/2498/2024/
2024-11,73316,137006,https://fangjia.gotohui.com/years/2498/2024/
2024-10,74327,138375,https://fangjia.gotohui.com/years/2498/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2498/2024/
2024-09,75505,136527,https://fangjia.gotohui.com/years/2498/2024/
2024-08,76701,137410,https://fangjia.gotohui.com/years/2498/2024/
2024-07,75267,135024,https://fangjia.gotohui.com/years/2498/2024/
2024-06,77143,129661,https://fangjia.gotohui.com/years/2498/2024/
2024-05,79184,119907,https://fangjia.gotohui.com/years/2498/2024/
2024-04,77822,141670,https://fangjia.gotohui.com/years/2498/2024/
2024-03,77468,119970,https://fangjia.gotohui.com/years/2498/2024/
2024-02,78705,116675,https://fangjia.gotohui.com/years/2498/2024/
2024-01,80238,118811,https://fangjia.gotohui.com/years/2498/2024/
2023-12,80758,118964,https://fangjia.gotohui.com/years/2498/2023/
2023-11,77708,118668,https://fangjia.gotohui.com/years/2498/2023/
2023-10,77846,109908,https://fangjia.gotohui.com/years/2498/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2498/2023/
2023-09,79152,116606,https://fangjia.gotohui.com/years/2498/2023/
2023-08,76122,126551,https://fangjia.gotohui.com/years/2498/2023/
2023-07,76766,118961,https://fangjia.gotohui.com/years/2498/2023/
2023-06,81696,0,https://fangjia.gotohui.com/years/2498/2023/
2023-05,79903,0,https://fangjia.gotohui.com/years/2498/2023/
2023-04,79708,0,https://fangjia.gotohui.com/years/2498/2023/
2023-03,78923,0,https://fangjia.gotohui.com/years/2498/2023/
2023-02,76475,0,https://fangjia.gotohui.com/years/2498/2023/
2023-01,83599,114820,https://fangjia.gotohui.com/years/2498/2023/
