Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,108000,200512,https://fangjia.gotohui.com/fjdata-2497
2026-03,102000,199785,https://fangjia.gotohui.com/fjdata-2497
2026-02,106000,199790,https://fangjia.gotohui.com/fjdata-2497
2026-01,109000,200609,https://fangjia.gotohui.com/fjdata-2497
2025-12,104000,173279,https://fangjia.gotohui.com/years/2497/2025/
2025-11,105000,173201,https://fangjia.gotohui.com/years/2497/2025/
2025-10,102000,170930,https://fangjia.gotohui.com/years/2497/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2497/2025/
2025-09,109000,166523,https://fangjia.gotohui.com/years/2497/2025/
2025-08,110000,172841,https://fangjia.gotohui.com/years/2497/2025/
2025-07,113000,172292,https://fangjia.gotohui.com/years/2497/2025/
2025-06,113000,171085,https://fangjia.gotohui.com/years/2497/2025/
2025-05,114000,169681,https://fangjia.gotohui.com/years/2497/2025/
2025-04,111000,162977,https://fangjia.gotohui.com/years/2497/2025/
2025-03,118000,167888,https://fangjia.gotohui.com/years/2497/2025/
2025-02,121107,166575,https://fangjia.gotohui.com/years/2497/2025/
2025-01,131748,169954,https://fangjia.gotohui.com/years/2497/2025/
2024-12,121498,167321,https://fangjia.gotohui.com/years/2497/2024/
2024-11,116154,168913,https://fangjia.gotohui.com/years/2497/2024/
2024-10,121780,166742,https://fangjia.gotohui.com/years/2497/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2497/2024/
2024-09,122076,166879,https://fangjia.gotohui.com/years/2497/2024/
2024-08,125870,149633,https://fangjia.gotohui.com/years/2497/2024/
2024-07,124388,149112,https://fangjia.gotohui.com/years/2497/2024/
2024-06,121616,150857,https://fangjia.gotohui.com/years/2497/2024/
2024-05,124510,156100,https://fangjia.gotohui.com/years/2497/2024/
2024-04,129976,156148,https://fangjia.gotohui.com/years/2497/2024/
2024-03,140130,153194,https://fangjia.gotohui.com/years/2497/2024/
2024-02,147434,144549,https://fangjia.gotohui.com/years/2497/2024/
2024-01,125250,143914,https://fangjia.gotohui.com/years/2497/2024/
2023-12,129867,143778,https://fangjia.gotohui.com/years/2497/2023/
2023-11,129755,143750,https://fangjia.gotohui.com/years/2497/2023/
2023-10,129002,145599,https://fangjia.gotohui.com/years/2497/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2497/2023/
2023-09,131455,144445,https://fangjia.gotohui.com/years/2497/2023/
2023-08,138495,132934,https://fangjia.gotohui.com/years/2497/2023/
2023-07,121698,145429,https://fangjia.gotohui.com/years/2497/2023/
2023-06,125024,0,https://fangjia.gotohui.com/years/2497/2023/
2023-05,127376,0,https://fangjia.gotohui.com/years/2497/2023/
2023-04,129354,0,https://fangjia.gotohui.com/years/2497/2023/
2023-03,128605,0,https://fangjia.gotohui.com/years/2497/2023/
2023-02,122230,0,https://fangjia.gotohui.com/years/2497/2023/
2023-01,120721,0,https://fangjia.gotohui.com/years/2497/2023/
