Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,83000,131322,https://fangjia.gotohui.com/fjdata-2496
2026-03,83300,131980,https://fangjia.gotohui.com/fjdata-2496
2026-02,85300,131663,https://fangjia.gotohui.com/fjdata-2496
2026-01,81700,132387,https://fangjia.gotohui.com/fjdata-2496
2025-12,80000,132150,https://fangjia.gotohui.com/years/2496/2025/
2025-11,80700,132094,https://fangjia.gotohui.com/years/2496/2025/
2025-10,85200,130388,https://fangjia.gotohui.com/years/2496/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2496/2025/
2025-09,87600,132485,https://fangjia.gotohui.com/years/2496/2025/
2025-08,84900,139366,https://fangjia.gotohui.com/years/2496/2025/
2025-07,81100,139846,https://fangjia.gotohui.com/years/2496/2025/
2025-06,86500,138628,https://fangjia.gotohui.com/years/2496/2025/
2025-05,88500,129847,https://fangjia.gotohui.com/years/2496/2025/
2025-04,89000,123700,https://fangjia.gotohui.com/years/2496/2025/
2025-03,90100,131456,https://fangjia.gotohui.com/years/2496/2025/
2025-02,91480,120092,https://fangjia.gotohui.com/years/2496/2025/
2025-01,94804,121301,https://fangjia.gotohui.com/years/2496/2025/
2024-12,92856,120286,https://fangjia.gotohui.com/years/2496/2024/
2024-11,92050,119262,https://fangjia.gotohui.com/years/2496/2024/
2024-10,95312,120175,https://fangjia.gotohui.com/years/2496/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2496/2024/
2024-09,92801,121958,https://fangjia.gotohui.com/years/2496/2024/
2024-08,93414,121861,https://fangjia.gotohui.com/years/2496/2024/
2024-07,92195,123206,https://fangjia.gotohui.com/years/2496/2024/
2024-06,94320,132083,https://fangjia.gotohui.com/years/2496/2024/
2024-05,94579,134655,https://fangjia.gotohui.com/years/2496/2024/
2024-04,96713,130988,https://fangjia.gotohui.com/years/2496/2024/
2024-03,97067,132484,https://fangjia.gotohui.com/years/2496/2024/
2024-02,101824,136108,https://fangjia.gotohui.com/years/2496/2024/
2024-01,97619,137037,https://fangjia.gotohui.com/years/2496/2024/
2023-12,98982,135941,https://fangjia.gotohui.com/years/2496/2023/
2023-11,96101,134411,https://fangjia.gotohui.com/years/2496/2023/
2023-10,99094,126541,https://fangjia.gotohui.com/years/2496/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2496/2023/
2023-09,98552,125123,https://fangjia.gotohui.com/years/2496/2023/
2023-08,96232,126622,https://fangjia.gotohui.com/years/2496/2023/
2023-07,96367,133602,https://fangjia.gotohui.com/years/2496/2023/
2023-06,98202,135176,https://fangjia.gotohui.com/years/2496/2023/
2023-05,96901,130828,https://fangjia.gotohui.com/years/2496/2023/
2023-04,98243,130748,https://fangjia.gotohui.com/years/2496/2023/
2023-03,96815,130750,https://fangjia.gotohui.com/years/2496/2023/
2023-02,94782,131033,https://fangjia.gotohui.com/years/2496/2023/
2023-01,95977,130143,https://fangjia.gotohui.com/years/2496/2023/
