Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,14000,27413,https://fangjia.gotohui.com/fjdata-2494
2026-03,16000,27518,https://fangjia.gotohui.com/fjdata-2494
2026-02,16000,27430,https://fangjia.gotohui.com/fjdata-2494
2026-01,16400,27062,https://fangjia.gotohui.com/fjdata-2494
2025-12,16300,26928,https://fangjia.gotohui.com/years/2494/2025/
2025-11,15500,26009,https://fangjia.gotohui.com/years/2494/2025/
2025-10,17100,25612,https://fangjia.gotohui.com/years/2494/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2494/2025/
2025-09,16200,25634,https://fangjia.gotohui.com/years/2494/2025/
2025-08,16600,26033,https://fangjia.gotohui.com/years/2494/2025/
2025-07,16300,26636,https://fangjia.gotohui.com/years/2494/2025/
2025-06,17200,27011,https://fangjia.gotohui.com/years/2494/2025/
2025-05,16100,27287,https://fangjia.gotohui.com/years/2494/2025/
2025-04,16400,27006,https://fangjia.gotohui.com/years/2494/2025/
2025-03,17200,26224,https://fangjia.gotohui.com/years/2494/2025/
2025-02,15088,25837,https://fangjia.gotohui.com/years/2494/2025/
2025-01,17374,26351,https://fangjia.gotohui.com/years/2494/2025/
2024-12,17155,25727,https://fangjia.gotohui.com/years/2494/2024/
2024-11,16911,25714,https://fangjia.gotohui.com/years/2494/2024/
2024-10,17603,25724,https://fangjia.gotohui.com/years/2494/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2494/2024/
2024-09,17184,25587,https://fangjia.gotohui.com/years/2494/2024/
2024-08,17758,25436,https://fangjia.gotohui.com/years/2494/2024/
2024-07,17491,25461,https://fangjia.gotohui.com/years/2494/2024/
2024-06,18372,25112,https://fangjia.gotohui.com/years/2494/2024/
2024-05,17464,24533,https://fangjia.gotohui.com/years/2494/2024/
2024-04,17358,24632,https://fangjia.gotohui.com/years/2494/2024/
2024-03,18275,24725,https://fangjia.gotohui.com/years/2494/2024/
2024-02,18664,24571,https://fangjia.gotohui.com/years/2494/2024/
2024-01,18576,24366,https://fangjia.gotohui.com/years/2494/2024/
2023-12,17822,24354,https://fangjia.gotohui.com/years/2494/2023/
2023-11,17824,24267,https://fangjia.gotohui.com/years/2494/2023/
2023-10,17831,24526,https://fangjia.gotohui.com/years/2494/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2494/2023/
2023-09,17988,24632,https://fangjia.gotohui.com/years/2494/2023/
2023-08,18041,25319,https://fangjia.gotohui.com/years/2494/2023/
2023-07,19018,23935,https://fangjia.gotohui.com/years/2494/2023/
2023-06,19206,24041,https://fangjia.gotohui.com/years/2494/2023/
2023-05,19135,24082,https://fangjia.gotohui.com/years/2494/2023/
2023-04,18044,24180,https://fangjia.gotohui.com/years/2494/2023/
2023-03,17990,24027,https://fangjia.gotohui.com/years/2494/2023/
2023-02,19465,24081,https://fangjia.gotohui.com/years/2494/2023/
2023-01,19322,24259,https://fangjia.gotohui.com/years/2494/2023/
