Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,64100,75034,https://fangjia.gotohui.com/fjdata-2491
2026-03,63700,62768,https://fangjia.gotohui.com/fjdata-2491
2026-02,63500,60683,https://fangjia.gotohui.com/fjdata-2491
2026-01,66300,61197,https://fangjia.gotohui.com/fjdata-2491
2025-12,66400,61444,https://fangjia.gotohui.com/years/2491/2025/
2025-11,66000,60849,https://fangjia.gotohui.com/years/2491/2025/
2025-10,66000,58747,https://fangjia.gotohui.com/years/2491/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2491/2025/
2025-09,66400,58965,https://fangjia.gotohui.com/years/2491/2025/
2025-08,64000,69712,https://fangjia.gotohui.com/years/2491/2025/
2025-07,63800,71753,https://fangjia.gotohui.com/years/2491/2025/
2025-06,64900,72754,https://fangjia.gotohui.com/years/2491/2025/
2025-05,65000,70825,https://fangjia.gotohui.com/years/2491/2025/
2025-04,69200,71192,https://fangjia.gotohui.com/years/2491/2025/
2025-03,67300,62783,https://fangjia.gotohui.com/years/2491/2025/
2025-02,68141,68722,https://fangjia.gotohui.com/years/2491/2025/
2025-01,69128,70425,https://fangjia.gotohui.com/years/2491/2025/
2024-12,67958,69753,https://fangjia.gotohui.com/years/2491/2024/
2024-11,68718,70078,https://fangjia.gotohui.com/years/2491/2024/
2024-10,68094,69384,https://fangjia.gotohui.com/years/2491/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2491/2024/
2024-09,69466,70115,https://fangjia.gotohui.com/years/2491/2024/
2024-08,70296,66583,https://fangjia.gotohui.com/years/2491/2024/
2024-07,71110,63171,https://fangjia.gotohui.com/years/2491/2024/
2024-06,70351,68726,https://fangjia.gotohui.com/years/2491/2024/
2024-05,71088,64075,https://fangjia.gotohui.com/years/2491/2024/
2024-04,73725,64494,https://fangjia.gotohui.com/years/2491/2024/
2024-03,72595,64925,https://fangjia.gotohui.com/years/2491/2024/
2024-02,77881,66153,https://fangjia.gotohui.com/years/2491/2024/
2024-01,73659,42313,https://fangjia.gotohui.com/years/2491/2024/
2023-12,73863,42725,https://fangjia.gotohui.com/years/2491/2023/
2023-11,76445,63740,https://fangjia.gotohui.com/years/2491/2023/
2023-10,76627,65761,https://fangjia.gotohui.com/years/2491/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2491/2023/
2023-09,76306,65522,https://fangjia.gotohui.com/years/2491/2023/
2023-08,79032,63172,https://fangjia.gotohui.com/years/2491/2023/
2023-07,72800,56302,https://fangjia.gotohui.com/years/2491/2023/
2023-06,73647,56782,https://fangjia.gotohui.com/years/2491/2023/
2023-05,75376,55990,https://fangjia.gotohui.com/years/2491/2023/
2023-04,75872,55786,https://fangjia.gotohui.com/years/2491/2023/
2023-03,75901,56583,https://fangjia.gotohui.com/years/2491/2023/
2023-02,75531,64772,https://fangjia.gotohui.com/years/2491/2023/
2023-01,79038,58425,https://fangjia.gotohui.com/years/2491/2023/
