Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,60700,96422,https://fangjia.gotohui.com/fjdata-2490
2026-03,61700,77344,https://fangjia.gotohui.com/fjdata-2490
2026-02,62700,96967,https://fangjia.gotohui.com/fjdata-2490
2026-01,61500,95416,https://fangjia.gotohui.com/fjdata-2490
2025-12,62100,95076,https://fangjia.gotohui.com/years/2490/2025/
2025-11,62300,103752,https://fangjia.gotohui.com/years/2490/2025/
2025-10,63300,103707,https://fangjia.gotohui.com/years/2490/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2490/2025/
2025-09,64500,103758,https://fangjia.gotohui.com/years/2490/2025/
2025-08,64200,95096,https://fangjia.gotohui.com/years/2490/2025/
2025-07,66100,95084,https://fangjia.gotohui.com/years/2490/2025/
2025-06,64900,95278,https://fangjia.gotohui.com/years/2490/2025/
2025-05,65000,94882,https://fangjia.gotohui.com/years/2490/2025/
2025-04,65200,96653,https://fangjia.gotohui.com/years/2490/2025/
2025-03,65600,101671,https://fangjia.gotohui.com/years/2490/2025/
2025-02,66104,105041,https://fangjia.gotohui.com/years/2490/2025/
2025-01,65196,104114,https://fangjia.gotohui.com/years/2490/2025/
2024-12,64062,103748,https://fangjia.gotohui.com/years/2490/2024/
2024-11,65590,99184,https://fangjia.gotohui.com/years/2490/2024/
2024-10,66012,99382,https://fangjia.gotohui.com/years/2490/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2490/2024/
2024-09,67574,100063,https://fangjia.gotohui.com/years/2490/2024/
2024-08,67646,98954,https://fangjia.gotohui.com/years/2490/2024/
2024-07,68661,99305,https://fangjia.gotohui.com/years/2490/2024/
2024-06,69746,99436,https://fangjia.gotohui.com/years/2490/2024/
2024-05,68826,103823,https://fangjia.gotohui.com/years/2490/2024/
2024-04,70186,104288,https://fangjia.gotohui.com/years/2490/2024/
2024-03,72267,105357,https://fangjia.gotohui.com/years/2490/2024/
2024-02,72612,113392,https://fangjia.gotohui.com/years/2490/2024/
2024-01,71681,119160,https://fangjia.gotohui.com/years/2490/2024/
2023-12,73623,119035,https://fangjia.gotohui.com/years/2490/2023/
2023-11,71041,116973,https://fangjia.gotohui.com/years/2490/2023/
2023-10,72922,116437,https://fangjia.gotohui.com/years/2490/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2490/2023/
2023-09,74543,114992,https://fangjia.gotohui.com/years/2490/2023/
2023-08,74430,113861,https://fangjia.gotohui.com/years/2490/2023/
2023-07,74506,119049,https://fangjia.gotohui.com/years/2490/2023/
2023-06,75022,119729,https://fangjia.gotohui.com/years/2490/2023/
2023-05,75414,119446,https://fangjia.gotohui.com/years/2490/2023/
2023-04,74671,119802,https://fangjia.gotohui.com/years/2490/2023/
2023-03,74853,120000,https://fangjia.gotohui.com/years/2490/2023/
2023-02,74772,115423,https://fangjia.gotohui.com/years/2490/2023/
2023-01,75687,107210,https://fangjia.gotohui.com/years/2490/2023/
