Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,42200,45917,https://fangjia.gotohui.com/fjdata-2489
2026-03,42700,45818,https://fangjia.gotohui.com/fjdata-2489
2026-02,46800,45980,https://fangjia.gotohui.com/fjdata-2489
2026-01,56000,45938,https://fangjia.gotohui.com/fjdata-2489
2025-12,48500,45428,https://fangjia.gotohui.com/years/2489/2025/
2025-11,47000,44777,https://fangjia.gotohui.com/years/2489/2025/
2025-10,43300,45429,https://fangjia.gotohui.com/years/2489/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2489/2025/
2025-09,57000,46135,https://fangjia.gotohui.com/years/2489/2025/
2025-08,52400,46670,https://fangjia.gotohui.com/years/2489/2025/
2025-07,59600,46643,https://fangjia.gotohui.com/years/2489/2025/
2025-06,55300,45841,https://fangjia.gotohui.com/years/2489/2025/
2025-05,50700,48083,https://fangjia.gotohui.com/years/2489/2025/
2025-04,45900,47950,https://fangjia.gotohui.com/years/2489/2025/
2025-03,53300,47391,https://fangjia.gotohui.com/years/2489/2025/
2025-02,57783,45376,https://fangjia.gotohui.com/years/2489/2025/
2025-01,49557,47253,https://fangjia.gotohui.com/years/2489/2025/
2024-12,52257,46438,https://fangjia.gotohui.com/years/2489/2024/
2024-11,58065,46994,https://fangjia.gotohui.com/years/2489/2024/
2024-10,56682,46097,https://fangjia.gotohui.com/years/2489/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2489/2024/
2024-09,52726,46640,https://fangjia.gotohui.com/years/2489/2024/
2024-08,47727,45890,https://fangjia.gotohui.com/years/2489/2024/
2024-07,52616,45826,https://fangjia.gotohui.com/years/2489/2024/
2024-06,55367,46357,https://fangjia.gotohui.com/years/2489/2024/
2024-05,55432,45769,https://fangjia.gotohui.com/years/2489/2024/
2024-04,56929,45566,https://fangjia.gotohui.com/years/2489/2024/
2024-03,56054,45909,https://fangjia.gotohui.com/years/2489/2024/
2024-02,53587,47745,https://fangjia.gotohui.com/years/2489/2024/
2024-01,54785,45463,https://fangjia.gotohui.com/years/2489/2024/
2023-12,52789,44091,https://fangjia.gotohui.com/years/2489/2023/
2023-11,52511,43675,https://fangjia.gotohui.com/years/2489/2023/
2023-10,50657,44487,https://fangjia.gotohui.com/years/2489/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2489/2023/
2023-09,55533,45517,https://fangjia.gotohui.com/years/2489/2023/
2023-08,54680,46842,https://fangjia.gotohui.com/years/2489/2023/
2023-07,48789,46119,https://fangjia.gotohui.com/years/2489/2023/
2023-06,58326,45625,https://fangjia.gotohui.com/years/2489/2023/
2023-05,49096,45764,https://fangjia.gotohui.com/years/2489/2023/
2023-04,54572,45912,https://fangjia.gotohui.com/years/2489/2023/
2023-03,51262,48712,https://fangjia.gotohui.com/years/2489/2023/
2023-02,48729,49221,https://fangjia.gotohui.com/years/2489/2023/
2023-01,50493,51214,https://fangjia.gotohui.com/years/2489/2023/
