Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,39900,48850,https://fangjia.gotohui.com/fjdata-2488
2026-03,39600,49004,https://fangjia.gotohui.com/fjdata-2488
2026-02,40400,49251,https://fangjia.gotohui.com/fjdata-2488
2026-01,42200,49222,https://fangjia.gotohui.com/fjdata-2488
2025-12,43400,49118,https://fangjia.gotohui.com/years/2488/2025/
2025-11,43900,48308,https://fangjia.gotohui.com/years/2488/2025/
2025-10,42800,47923,https://fangjia.gotohui.com/years/2488/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2488/2025/
2025-09,46500,48065,https://fangjia.gotohui.com/years/2488/2025/
2025-08,41900,47697,https://fangjia.gotohui.com/years/2488/2025/
2025-07,42400,47015,https://fangjia.gotohui.com/years/2488/2025/
2025-06,41500,47405,https://fangjia.gotohui.com/years/2488/2025/
2025-05,43100,46374,https://fangjia.gotohui.com/years/2488/2025/
2025-04,42700,45778,https://fangjia.gotohui.com/years/2488/2025/
2025-03,43700,48572,https://fangjia.gotohui.com/years/2488/2025/
2025-02,45311,47632,https://fangjia.gotohui.com/years/2488/2025/
2025-01,45679,48574,https://fangjia.gotohui.com/years/2488/2025/
2024-12,43754,47749,https://fangjia.gotohui.com/years/2488/2024/
2024-11,46200,48209,https://fangjia.gotohui.com/years/2488/2024/
2024-10,46297,47501,https://fangjia.gotohui.com/years/2488/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2488/2024/
2024-09,46991,48278,https://fangjia.gotohui.com/years/2488/2024/
2024-08,47844,47876,https://fangjia.gotohui.com/years/2488/2024/
2024-07,47426,47395,https://fangjia.gotohui.com/years/2488/2024/
2024-06,46004,47561,https://fangjia.gotohui.com/years/2488/2024/
2024-05,46381,48400,https://fangjia.gotohui.com/years/2488/2024/
2024-04,49316,48637,https://fangjia.gotohui.com/years/2488/2024/
2024-03,47861,47999,https://fangjia.gotohui.com/years/2488/2024/
2024-02,47692,46899,https://fangjia.gotohui.com/years/2488/2024/
2024-01,49066,45576,https://fangjia.gotohui.com/years/2488/2024/
2023-12,46640,45546,https://fangjia.gotohui.com/years/2488/2023/
2023-11,47197,47170,https://fangjia.gotohui.com/years/2488/2023/
2023-10,46741,46850,https://fangjia.gotohui.com/years/2488/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2488/2023/
2023-09,46053,46754,https://fangjia.gotohui.com/years/2488/2023/
2023-08,44632,47551,https://fangjia.gotohui.com/years/2488/2023/
2023-07,46264,46577,https://fangjia.gotohui.com/years/2488/2023/
2023-06,46350,47050,https://fangjia.gotohui.com/years/2488/2023/
2023-05,46088,46714,https://fangjia.gotohui.com/years/2488/2023/
2023-04,45269,46988,https://fangjia.gotohui.com/years/2488/2023/
2023-03,43032,45715,https://fangjia.gotohui.com/years/2488/2023/
2023-02,44880,45682,https://fangjia.gotohui.com/years/2488/2023/
2023-01,45330,45223,https://fangjia.gotohui.com/years/2488/2023/
