Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,83200,138166,https://fangjia.gotohui.com/fjdata-2487
2026-02,77500,138388,https://fangjia.gotohui.com/fjdata-2487
2026-01,83900,138423,https://fangjia.gotohui.com/fjdata-2487
2025-12,79100,110891,https://fangjia.gotohui.com/years/2487/2025/
2025-11,79200,110893,https://fangjia.gotohui.com/years/2487/2025/
2025-10,77100,112944,https://fangjia.gotohui.com/years/2487/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2487/2025/
2025-09,77700,118324,https://fangjia.gotohui.com/years/2487/2025/
2025-08,76800,120145,https://fangjia.gotohui.com/years/2487/2025/
2025-07,78800,126223,https://fangjia.gotohui.com/years/2487/2025/
2025-06,77800,125528,https://fangjia.gotohui.com/years/2487/2025/
2025-05,79500,154284,https://fangjia.gotohui.com/years/2487/2025/
2025-04,82100,138965,https://fangjia.gotohui.com/years/2487/2025/
2025-03,82400,129026,https://fangjia.gotohui.com/years/2487/2025/
2025-02,82078,124343,https://fangjia.gotohui.com/years/2487/2025/
2025-01,84752,120052,https://fangjia.gotohui.com/years/2487/2025/
2024-12,82479,141233,https://fangjia.gotohui.com/years/2487/2024/
2024-11,81263,146121,https://fangjia.gotohui.com/years/2487/2024/
2024-10,83937,126400,https://fangjia.gotohui.com/years/2487/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2487/2024/
2024-09,85475,113639,https://fangjia.gotohui.com/years/2487/2024/
2024-08,83119,97651,https://fangjia.gotohui.com/years/2487/2024/
2024-07,84212,96919,https://fangjia.gotohui.com/years/2487/2024/
2024-06,84922,100115,https://fangjia.gotohui.com/years/2487/2024/
2024-05,84712,93723,https://fangjia.gotohui.com/years/2487/2024/
2024-04,85347,94174,https://fangjia.gotohui.com/years/2487/2024/
2024-03,89612,100547,https://fangjia.gotohui.com/years/2487/2024/
2024-02,93899,95567,https://fangjia.gotohui.com/years/2487/2024/
2024-01,94409,96849,https://fangjia.gotohui.com/years/2487/2024/
2023-12,91793,96897,https://fangjia.gotohui.com/years/2487/2023/
2023-11,92143,96877,https://fangjia.gotohui.com/years/2487/2023/
2023-10,90562,96636,https://fangjia.gotohui.com/years/2487/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2487/2023/
2023-09,92615,88320,https://fangjia.gotohui.com/years/2487/2023/
2023-08,93504,94181,https://fangjia.gotohui.com/years/2487/2023/
2023-07,92864,89864,https://fangjia.gotohui.com/years/2487/2023/
2023-06,94007,89811,https://fangjia.gotohui.com/years/2487/2023/
2023-05,97776,89982,https://fangjia.gotohui.com/years/2487/2023/
2023-04,93875,89908,https://fangjia.gotohui.com/years/2487/2023/
2023-03,92874,89817,https://fangjia.gotohui.com/years/2487/2023/
2023-02,91931,89934,https://fangjia.gotohui.com/years/2487/2023/
2023-01,97143,0,https://fangjia.gotohui.com/years/2487/2023/
