Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
2026-04,63000,113191,https://fangjia.gotohui.com/fjdata-2486
2026-03,63400,113843,https://fangjia.gotohui.com/fjdata-2486
2026-02,62100,114083,https://fangjia.gotohui.com/fjdata-2486
2026-01,62300,114015,https://fangjia.gotohui.com/fjdata-2486
2025-12,61600,113255,https://fangjia.gotohui.com/years/2486/2025/
2025-11,64300,113561,https://fangjia.gotohui.com/years/2486/2025/
2025-10,65700,113158,https://fangjia.gotohui.com/years/2486/2025/
2025-0份,,,https://fangjia.gotohui.com/years/2486/2025/
2025-09,69500,112035,https://fangjia.gotohui.com/years/2486/2025/
2025-08,69600,113416,https://fangjia.gotohui.com/years/2486/2025/
2025-07,68800,111498,https://fangjia.gotohui.com/years/2486/2025/
2025-06,70900,111397,https://fangjia.gotohui.com/years/2486/2025/
2025-05,67500,110970,https://fangjia.gotohui.com/years/2486/2025/
2025-04,68800,106364,https://fangjia.gotohui.com/years/2486/2025/
2025-03,71400,109897,https://fangjia.gotohui.com/years/2486/2025/
2025-02,71379,113769,https://fangjia.gotohui.com/years/2486/2025/
2025-01,69533,113962,https://fangjia.gotohui.com/years/2486/2025/
2024-12,71438,114309,https://fangjia.gotohui.com/years/2486/2024/
2024-11,68519,115074,https://fangjia.gotohui.com/years/2486/2024/
2024-10,70946,115229,https://fangjia.gotohui.com/years/2486/2024/
2024-0份,,,https://fangjia.gotohui.com/years/2486/2024/
2024-09,71231,115444,https://fangjia.gotohui.com/years/2486/2024/
2024-08,74241,115046,https://fangjia.gotohui.com/years/2486/2024/
2024-07,73483,117740,https://fangjia.gotohui.com/years/2486/2024/
2024-06,74984,111939,https://fangjia.gotohui.com/years/2486/2024/
2024-05,74456,112077,https://fangjia.gotohui.com/years/2486/2024/
2024-04,72993,112167,https://fangjia.gotohui.com/years/2486/2024/
2024-03,74825,113058,https://fangjia.gotohui.com/years/2486/2024/
2024-02,72733,111393,https://fangjia.gotohui.com/years/2486/2024/
2024-01,75432,117493,https://fangjia.gotohui.com/years/2486/2024/
2023-12,77149,119301,https://fangjia.gotohui.com/years/2486/2023/
2023-11,73868,110451,https://fangjia.gotohui.com/years/2486/2023/
2023-10,74967,110638,https://fangjia.gotohui.com/years/2486/2023/
2023-0份,,,https://fangjia.gotohui.com/years/2486/2023/
2023-09,76610,107049,https://fangjia.gotohui.com/years/2486/2023/
2023-08,77018,106965,https://fangjia.gotohui.com/years/2486/2023/
2023-07,77872,103057,https://fangjia.gotohui.com/years/2486/2023/
2023-06,79307,101861,https://fangjia.gotohui.com/years/2486/2023/
2023-05,78495,101729,https://fangjia.gotohui.com/years/2486/2023/
2023-04,78838,102223,https://fangjia.gotohui.com/years/2486/2023/
2023-03,78377,95353,https://fangjia.gotohui.com/years/2486/2023/
2023-02,82426,95632,https://fangjia.gotohui.com/years/2486/2023/
2023-01,78839,0,https://fangjia.gotohui.com/years/2486/2023/
