district,district_en,community,title,layout,bedrooms,area_sqm,orientation,decoration,decoration_en,floor_level,floor_level_en,total_floors,build_year,property_age,building_type,building_type_en,total_price_wan,total_price_yuan,unit_price_yuan_sqm,tags,listing_url
huangpu,Huangpu,思南新苑,思南新苑 精装南北2房  2卫生间 有地下产权车位近地铁,2室2厅,2.0,104.99,南 北,精装,Fully Furnished,,Unknown,30.0,2003.0,22.0,板楼,Slab,1360.0,13600000.0,129537.0,近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115620941.html
huangpu,Huangpu,康绥公寓,淮海中路上老公寓 层高3米2 南北通 优秀历史建筑,2室1厅,2.0,83.49,南,精装,Fully Furnished,中,Mid,4.0,1935.0,90.0,板楼,Slab,898.0,8980000.0,107558.0,近地铁|VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115679469.html
huangpu,Huangpu,锦麟天地雅苑,新天地一梯一户大四房 带车位 南北通透 诚意出售,4室2厅,4.0,260.44,南 北,简装,Basic Furnished,,Unknown,30.0,2005.0,20.0,板楼,Slab,4170.0,41700000.0,160114.0,近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115021158.html
huangpu,Huangpu,建德小区,中间楼层 全明房型 视野采光好 低总价 近地铁医院商场,2室1厅,2.0,42.02,南,简装,Basic Furnished,中,Mid,6.0,1976.0,49.0,板楼,Slab,458.0,4580000.0,108996.0,近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115519988.html
huangpu,Huangpu,宁波小区,南京东路板块＋小户型＋格至＋电梯＋采光视野好,1室1厅,1.0,31.49,南,简装,Basic Furnished,高,High,6.0,1985.0,40.0,板楼,Slab,460.0,4600000.0,146079.0,近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107114910481.html
huangpu,Huangpu,黄浦众鑫城,高区精装拎包入住+8/10老西门双轨交+业主诚意税少,2室2厅,2.0,119.98,南,精装,Fully Furnished,高,High,29.0,2002.0,23.0,板楼,Slab,1250.0,12500000.0,104185.0,近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107106408982.html
huangpu,Huangpu,黄浦新苑西区,新上高区三房，全明边套户型，采光视野无遮挡，有车位,3室2厅,3.0,127.11,南 北,简装,Basic Furnished,高,High,31.0,2001.0,24.0,板楼,Slab,1298.0,12980000.0,102117.0,近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115681705.html
huangpu,Huangpu,建德小区,楼层好、双南房型、总价低、近医院、9号线、日月光,2室0厅,2.0,36.6,南,毛坯,Bare Shell,中,Mid,5.0,1974.0,51.0,板楼,Slab,388.0,3880000.0,106011.0,近地铁|VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115064584.html
huangpu,Huangpu,金外滩花园,全明户型，全落地窗，开窗见绿，居住舒服接地气，,3室2厅,3.0,161.84,南,毛坯,Bare Shell,,Unknown,27.0,2006.0,19.0,板楼,Slab,1788.0,17880000.0,110480.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107114499711.html
huangpu,Huangpu,华润外滩九里,此房楼层好，小区安静位置，全落地窗朝南看小区花园,4室2厅,4.0,246.8,南,精装,Fully Furnished,,Unknown,13.0,2011.0,14.0,板楼,Slab,3350.0,33500000.0,135738.0,VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107109762200.html
