district,community,title,area_sqm,layout,orientation,monthly_rent_yuan,rent_per_sqm,tags,listing_url,scraped_date,listing_type
huangpu,恒升大厦,整租·恒升大厦 1室0厅 东,30.0,1室0厅1卫,东,4800.0,160.0,自营|新上|月租|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1892543132499705856.html,20260606,rent
huangpu,金色黄浦,整租·金色黄浦 2室1厅 东南/南,92.46,2室1厅1卫,东南,13600.0,147.1,官方核验|业主自荐|新上|近地铁|精装,https://sh.lianjia.com/zufang/SH2172563151260745728.html,20260606,rent
huangpu,卢湾城市花园,整租·卢湾城市花园 1室1厅 南,57.67,1室1厅1卫,南,8920.0,154.7,自营|新上|精装|押一付一|随时看房|首次出租,https://sh.lianjia.com/zufang/SH2174135502322532352.html,20260606,rent
huangpu,仅剩1间,独栋·城方公寓 黄浦璟岸社区 性价比高的一居室 宠物友好 可就近上学 可办居住证 开间,37.0,1室0厅1卫,,6216.0,168.0,独栋公寓|月租|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,https://sh.lianjia.com/apartment/77347.html,20260606,rent
huangpu,赛元大厦,整租·赛元大厦 1室1厅 南,56.24,1室1厅1卫,南,4442.0,79.0,自营|新上|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2126544847270576128.html,20260606,rent
huangpu,仅剩1间,独栋·桂客公寓 豫园店 精致观景地铁房限时特惠，地铁200米 1室1厅,30.0,1室1厅1卫,,6399.0,213.3,新上|独栋公寓|月租|近地铁|精装|开放厨房,https://sh.lianjia.com/apartment/89930.html,20260606,rent
huangpu,中福浦江汇,整租·中福浦江汇 2室1厅 南,71.0,2室1厅1卫,南,8400.0,118.3,自营|新上|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1835902625384497152.html,20260606,rent
huangpu,黄浦众鑫城,整租·黄浦众鑫城 3室2厅 南,158.44,3室2厅2卫,南,16000.0,101.0,官方核验|业主自荐|新上|近地铁|精装|双卫生间,https://sh.lianjia.com/zufang/SH2172780548391436288.html,20260606,rent
huangpu,紫荆新苑,整租·紫荆新苑 2室1厅 南/北,78.69,2室1厅1卫,南,8000.0,101.7,自营|新上|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1847901304504975360.html,20260606,rent
huangpu,恒升大厦,整租·恒升大厦 1室1厅 西,31.42,1室1厅1卫,西,4200.0,133.7,自营|新上|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2093301833882664960.html,20260606,rent
huangpu,三德坊,整租·三德坊 1室0厅 东/南/北,16.1,1室0厅1卫,东,3652.0,226.8,自营|新上|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2023945112177868800.html,20260606,rent
huangpu,仅剩1间,独栋·加号PLUSHOUSE酒店公寓 外滩店 性价比拉满特惠好房近地铁拎包入住 1室1厅,30.0,1室1厅1卫,,4108.0,136.9,独栋公寓|近地铁|精装|押一付一,https://sh.lianjia.com/apartment/91139.html,20260606,rent
huangpu,五岭小区,整租·五岭小区 2室1厅 南,60.0,2室1厅1卫,南,6000.0,100.0,自营|新上|近地铁|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2026960235469471744.html,20260606,rent
huangpu,仅剩1间,独栋·桂客公寓 西藏南路地铁口店 民用水电/地铁4/8/13号线/押一付一/无中介费-525 1室1厅,20.0,1室1厅1卫,,4400.0,220.0,新上|独栋公寓|月租|近地铁|精装,https://sh.lianjia.com/apartment/40258.html,20260606,rent
huangpu,北蒙三小区,整租·北蒙三小区 1室1厅 北,29.8,1室1厅1卫,北,4600.0,154.4,自营|新上|月租|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1966486767552954368.html,20260606,rent
huangpu,老西门新苑,整租·老西门新苑 1室0厅 东南/南,288.3,1室0厅0卫,东南,1500.0,5.2,业主自荐|新上|近地铁|押一付一,https://sh.lianjia.com/zufang/SH2172944958850334720.html,20260606,rent
huangpu,陕南邨,整租·陕南邨 1室1厅 南,27.6,1室1厅1卫,南,5200.0,188.4,自营|新上|月租|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1910343414503702528.html,20260606,rent
huangpu,进贤路191号,整租·进贤路191号 1室1厅 南,41.49,1室1厅1卫,南,7000.0,168.7,官方核验|新上|精装,https://sh.lianjia.com/zufang/SH2172206636125388800.html,20260606,rent
huangpu,鲁班大楼,整租·鲁班大楼 2室1厅 南,95.85,2室1厅1卫,南,8400.0,87.6,自营|新上|月租|近地铁|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1932797929748168704.html,20260606,rent
huangpu,北蒙三小区,整租·北蒙三小区 1室1厅 东南,42.6,1室1厅1卫,东南,5200.0,122.1,自营|新上|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1887778411099717632.html,20260606,rent
huangpu,中福浦江汇,整租·中福浦江汇 2室1厅 南,62.24,2室1厅1卫,南,9200.0,147.8,官方核验|新上|近地铁|精装,https://sh.lianjia.com/zufang/SH2168545223393673216.html,20260606,rent
huangpu,林荫大楼,整租·林荫大楼 1室1厅 南,40.83,1室1厅1卫,南,5200.0,127.4,官方核验|新上,https://sh.lianjia.com/zufang/SH2173730440282636288.html,20260606,rent
huangpu,弘辉名苑,整租·弘辉名苑 1室2厅 南,80.47,1室2厅1卫,南,11000.0,136.7,官方核验|精装|随时看房,https://sh.lianjia.com/zufang/SH2171503213860093952.html,20260606,rent
huangpu,淮海中路697弄,整租·淮海中路697弄 1室0厅 北,12.1,1室0厅1卫,北,4500.0,371.9,官方核验|新上,https://sh.lianjia.com/zufang/SH2173715804690841600.html,20260606,rent
huangpu,瞿四小区,整租·瞿四小区 1室0厅 南,29.02,1室0厅1卫,南,4600.0,158.5,自营|新上|月租|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1906296850856542208.html,20260606,rent
huangpu,北蒙三小区,整租·北蒙三小区 1室1厅 南,37.3,1室1厅1卫,南,6500.0,174.3,官方核验|新上|近地铁|精装,https://sh.lianjia.com/zufang/SH2166195468793544704.html,20260606,rent
huangpu,仅剩1间,独栋·南舒房 南舒房滨江店 滨江超性价比低价一居室*押一付一*可短租*可开票 开间,12.0,1室0厅1卫,,3300.0,275.0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,https://sh.lianjia.com/apartment/66151.html,20260606,rent
huangpu,桥一小区,整租·桥一小区 1室0厅 北,21.75,1室0厅1卫,北,3885.0,178.6,自营|新上|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2000110975230935040.html,20260606,rent
huangpu,中福花苑,整租·中福花苑 1室1厅 南,42.26,1室1厅1卫,南,5800.0,137.2,官方核验|新上|近地铁|精装,https://sh.lianjia.com/zufang/SH2174186391494197248.html,20260606,rent
huangpu,明日星城（一期）,整租·明日星城（一期） 2室2厅 南,110.63,2室2厅2卫,南,10290.0,93.0,自营|近地铁|押一付一|双卫生间|随时看房,https://sh.lianjia.com/zufang/SH2025535889978949632.html,20260606,rent
huangpu,海洲国际华园,整租·海洲国际华园 3室2厅 南,130.45,3室2厅2卫,南,12600.0,96.6,自营|新上|月租|精装|押一付一|双卫生间|随时看房,https://sh.lianjia.com/zufang/SH1847983565329924096.html,20260606,rent
huangpu,瞿四小区,整租·瞿四小区 1室1厅 南,48.59,1室1厅1卫,南,4933.0,101.5,自营|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH1796896182119694336.html,20260606,rent
huangpu,仅剩1间,独栋·龙建公寓 龙建公寓 房东直租，特惠一居室，带电梯，近4、9、13号线，不能办居住证 1室1厅,18.0,1室1厅1卫,,2850.0,158.3,独栋公寓|近地铁|精装|开放厨房,https://sh.lianjia.com/apartment/108409.html,20260606,rent
huangpu,131号,整租·瞿溪路115-131号 1室1厅 南,31.91,1室1厅1卫,南,3675.0,115.2,自营|近地铁|精装|押一付一|随时看房,https://sh.lianjia.com/zufang/SH2097349163485233152.html,20260606,rent
