district,community,title,house_info,total_price_wan,unit_price_raw,tags,listing_url
huangpu,思南新苑,思南新苑 精装南北2房  2卫生间 有地下产权车位近地铁,2室2厅 | 104.99平米 | 南 北 | 精装 | 30层 | 2003年 | 板楼,1360万,"129,537元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115620941.html
huangpu,康绥公寓,淮海中路上老公寓 层高3米2 南北通 优秀历史建筑,2室1厅 | 83.49平米 | 南 | 精装 | 中楼层(共4层) | 1935年 | 板楼,898万,"107,558元/平",近地铁|VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115679469.html
huangpu,锦麟天地雅苑,新天地一梯一户大四房 带车位 南北通透 诚意出售,4室2厅 | 260.44平米 | 南 北 | 简装 | 30层 | 2005年 | 板楼,4170万,"160,114元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115021158.html
huangpu,建德小区,中间楼层 全明房型 视野采光好 低总价 近地铁医院商场,2室1厅 | 42.02平米 | 南 | 简装 | 中楼层(共6层) | 1976年 | 板楼,458万,"108,996元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115519988.html
huangpu,宁波小区,南京东路板块＋小户型＋格至＋电梯＋采光视野好,1室1厅 | 31.49平米 | 南 | 简装 | 高楼层(共6层) | 1985年 | 板楼,460万,"146,079元/平",近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107114910481.html
huangpu,黄浦众鑫城,高区精装拎包入住+8/10老西门双轨交+业主诚意税少,2室2厅 | 119.98平米 | 南 | 精装 | 高楼层(共29层) | 2002年 | 板楼,1250万,"104,185元/平",近地铁|VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107106408982.html
huangpu,黄浦新苑西区,新上高区三房，全明边套户型，采光视野无遮挡，有车位,3室2厅 | 127.11平米 | 南 北 | 简装 | 高楼层(共31层) | 2001年 | 板楼,1298万,"102,117元/平",近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115681705.html
huangpu,建德小区,楼层好、双南房型、总价低、近医院、9号线、日月光,2室0厅 | 36.6平米 | 南 | 毛坯 | 中楼层(共5层) | 1974年 | 板楼,388万,"106,011元/平",近地铁|VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115064584.html
huangpu,金外滩花园,全明户型，全落地窗，开窗见绿，居住舒服接地气，,3室2厅 | 161.84平米 | 南 | 毛坯 | 27层 | 2006年 | 板楼,1788万,"110,480元/平",VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107114499711.html
huangpu,华润外滩九里,此房楼层好，小区安静位置，全落地窗朝南看小区花园,4室2厅 | 246.8平米 | 南 | 精装 | 13层 | 2011年 | 板楼,3350万,"135,738元/平",VR看装修|房本满五年,https://sh.lianjia.com/ershoufang/107109762200.html
huangpu,海玥黄浦源,海玥东边套高区 苏州河S湾+陆家嘴景观 全屋奢装高定,4室2厅 | 237.24平米 | 南 | 精装 | 中楼层(共50层) | 2026年 | 板楼,3850万,"162,283元/平",近地铁|甄选房|VR房源|房本满两年|随时看房,https://sh.lianjia.com/ershoufang/107114830201.html
huangpu,永业公寓,地铁马当路，前排看公园，人车分流，阳光充足,3室2厅 | 137.51平米 | 南 北 | 精装 | 低楼层(共33层) | 2008年 | 板楼,2098万,"152,571元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115548923.html
huangpu,永业仁德坊,空间大，四房南北通户型，看房方便。,4室2厅 | 167.18平米 | 南 北 | 精装 | 低楼层(共33层) | 2001年 | 板楼,1160万,"69,387元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115554180.html
huangpu,西凌新邨,高区精装2室，视野佳，地铁沿线配套齐全，业主诚售,2室1厅 | 73.61平米 | 西南 北 | 精装 | 高楼层(共32层) | 1995年 | 塔楼,510万,"69,285元/平",近地铁|VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107115635351.html
huangpu,西凌新邨,西凌新上高区双南两房，业主诚意出售,2室2厅 | 83.16平米 | 南 | 精装 | 高楼层(共32层) | 1993年 | 塔楼,655万,"78,764元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115737186.html
huangpu,丽文小区,丽园公园旁，美丽家园已做，一梯三户，马当路地铁口,2室1厅 | 48.03平米 | 南 北 | 精装 | 中楼层(共7层) | 1985年 | 板楼,388万,"80,783元/平",近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115754238.html
huangpu,永业公寓,南北通户型，2T2户，力推，看房随时约,2室2厅 | 123.68平米 | 南 | 简装 | 中楼层(共35层) | 2003年 | 板楼,1550万,"125,324元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115610796.html
huangpu,露香园,高楼层，总价低，3+1房3卫，独层独用！,3室1厅 | 209.05平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,3000万,"143,507元/平",VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107114853552.html
huangpu,经纬公寓,新天地板块，中高区大两房，三开间朝南，全明户型,2室2厅 | 138.51平米 | 南 | 精装 | 中楼层(共22层) | 1995年 | 板楼,1380万,"99,632元/平",近地铁|VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115144337.html
huangpu,锦绣家园,有车位！户型方正，光线刺眼，半人车分流,3室2厅 | 145.08平米 | 南 | 精装 | 高楼层(共18层) | 2000年 | 板楼,1228万,"84,643元/平",近地铁|VR看装修|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107113502621.html
huangpu,明德坊,出门600米享日月光步行街和地铁站,2室2厅 | 107.33平米 | 东南 南 西南 | 精装 | 低楼层(共24层) | 1999年 | 板楼,758万,"70,624元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107113764213.html
huangpu,蒙西小区,诚意出售，靠地铁口，靠公园。寻找有缘人,1室1厅 | 34.56平米 | 南 | 简装 | 低楼层(共7层) | 1994年 | 板楼,299万,"86,517元/平",近地铁|VR房源|房本满两年|随时看房,https://sh.lianjia.com/ershoufang/107114833653.html
huangpu,济南路8号,五星管家式服务 全落地窗 正看浦东四件套 随时可看房,1室2厅 | 82.74平米 | 东 东南 | 精装 | 中楼层(共31层) | 1998年 | 塔楼,828万,"100,073元/平",近地铁|VR看装修|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107111170511.html
huangpu,华盛大公馆,人广新挂高区2房全南带2卫板式全明包包随时用,2室2厅 | 112.29平米 | 南 | 精装 | 中楼层(共32层) | 2004年 | 板楼,1299万,"115,683元/平",近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115221937.html
huangpu,丽园新村,小户型全明总价低业主诚意出售，位置安静配套齐全,1室0厅 | 23.18平米 | 北 | 精装 | 低楼层(共6层) | 1980年 | 板楼,218万,"94,047元/平",近地铁|VR房源,https://sh.lianjia.com/ershoufang/107115764970.html
huangpu,耀江花园,户型方正带飘窗，前排采光无遮挡,2室1厅 | 103.84平米 | 南 | 精装 | 低楼层(共26层) | 2004年 | 板楼,1250万,"120,378元/平",近地铁|VR看装修|房本满两年|随时看房,https://sh.lianjia.com/ershoufang/107114063577.html
huangpu,海琪园,高区三开间朝南，阳光全天，还能看江景！,2室1厅 | 109.94平米 | 南 | 精装 | 31层 | 2003年 | 板楼,1300万,"118,247元/平",VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115379108.html
huangpu,中福浦江汇,此房满五年近地铁，采光好，总价低,1室1厅 | 45.03平米 | 南 | 简装 | 低楼层(共32层) | 2014年 | 板楼,398万,"88,386元/平",近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115257054.html
huangpu,新中苑,新中苑小三房 中区 视野采光好 有钥匙 近地铁4/8号线,3室2厅 | 119.85平米 | 南 | 精装 | 中楼层(共31层) | 1999年 | 板楼,935万,"78,015元/平",近地铁|VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115536330.html
