district,district_id,year,month,date,price_per_sqm
Baoshan,2501,2015,1,2015-01,23353.0
Baoshan,2501,2015,2,2015-02,23281.0
Baoshan,2501,2015,3,2015-03,23419.0
Baoshan,2501,2015,4,2015-04,23510.0
Baoshan,2501,2015,5,2015-05,24016.0
Baoshan,2501,2015,6,2015-06,24549.0
Baoshan,2501,2015,7,2015-07,24757.0
Baoshan,2501,2015,8,2015-08,25153.0
Baoshan,2501,2015,9,2015-09,25537.0
Baoshan,2501,2015,10,2015-10,26031.0
Baoshan,2501,2015,11,2015-11,26428.0
Baoshan,2501,2015,12,2015-12,27010.0
Baoshan,2501,2016,1,2016-01,28559.0
Baoshan,2501,2016,2,2016-02,29300.0
Baoshan,2501,2016,3,2016-03,34395.0
Baoshan,2501,2016,4,2016-04,36055.0
Baoshan,2501,2016,5,2016-05,35946.0
Baoshan,2501,2016,6,2016-06,35955.0
Baoshan,2501,2016,7,2016-07,36396.0
Baoshan,2501,2016,8,2016-08,37126.0
Baoshan,2501,2016,9,2016-09,38921.0
Baoshan,2501,2016,10,2016-10,41523.0
Baoshan,2501,2016,11,2016-11,43079.0
Baoshan,2501,2016,12,2016-12,43403.0
Baoshan,2501,2017,1,2017-01,43640.0
Baoshan,2501,2017,2,2017-02,44066.0
Baoshan,2501,2017,3,2017-03,43867.0
Baoshan,2501,2017,4,2017-04,44010.0
Baoshan,2501,2017,5,2017-05,45235.0
Baoshan,2501,2017,6,2017-06,45086.0
Baoshan,2501,2017,7,2017-07,45150.0
Baoshan,2501,2017,8,2017-08,43509.0
Baoshan,2501,2017,9,2017-09,42904.0
Baoshan,2501,2017,10,2017-10,42629.0
Baoshan,2501,2017,11,2017-11,41941.0
Baoshan,2501,2017,12,2017-12,41154.0
Baoshan,2501,2018,6,2018-06,40453.0
Baoshan,2501,2018,7,2018-07,40893.0
Baoshan,2501,2018,8,2018-08,40321.0
Baoshan,2501,2018,9,2018-09,40282.0
Baoshan,2501,2018,10,2018-10,40684.0
Baoshan,2501,2018,11,2018-11,38810.0
Baoshan,2501,2018,12,2018-12,40354.0
Baoshan,2501,2019,1,2019-01,40102.0
Baoshan,2501,2019,2,2019-02,40032.0
Baoshan,2501,2019,3,2019-03,40004.0
Baoshan,2501,2019,4,2019-04,38852.0
Baoshan,2501,2019,5,2019-05,40013.0
Baoshan,2501,2019,6,2019-06,40373.0
Baoshan,2501,2019,7,2019-07,40011.0
Baoshan,2501,2019,8,2019-08,40004.0
Baoshan,2501,2019,9,2019-09,40442.0
Baoshan,2501,2019,10,2019-10,40401.0
Baoshan,2501,2019,11,2019-11,40509.0
Baoshan,2501,2019,12,2019-12,40583.0
Baoshan,2501,2020,1,2020-01,39302.0
Baoshan,2501,2020,2,2020-02,39472.0
Baoshan,2501,2020,3,2020-03,39998.0
Baoshan,2501,2020,4,2020-04,42130.0
Baoshan,2501,2020,5,2020-05,43024.0
Baoshan,2501,2020,6,2020-06,40355.0
Baoshan,2501,2020,7,2020-07,40868.0
Baoshan,2501,2020,8,2020-08,43451.0
Baoshan,2501,2020,9,2020-09,40816.0
Baoshan,2501,2020,10,2020-10,43120.0
Baoshan,2501,2020,11,2020-11,44516.0
Baoshan,2501,2020,12,2020-12,43885.0
Baoshan,2501,2021,1,2021-01,45358.0
Baoshan,2501,2021,2,2021-02,45711.0
Baoshan,2501,2021,3,2021-03,45114.0
Baoshan,2501,2021,4,2021-04,48027.0
Baoshan,2501,2021,5,2021-05,49669.0
Baoshan,2501,2021,6,2021-06,50168.0
Baoshan,2501,2021,7,2021-07,52445.0
Baoshan,2501,2021,8,2021-08,50928.0
Baoshan,2501,2021,9,2021-09,46190.0
Baoshan,2501,2021,10,2021-10,48958.0
Baoshan,2501,2021,11,2021-11,49339.0
Baoshan,2501,2021,12,2021-12,48229.0
Baoshan,2501,2022,1,2022-01,46746.0
Baoshan,2501,2022,2,2022-02,49564.0
Baoshan,2501,2022,3,2022-03,47292.0
Baoshan,2501,2022,4,2022-04,45730.0
Baoshan,2501,2022,5,2022-05,47470.0
Baoshan,2501,2022,6,2022-06,48413.0
Baoshan,2501,2022,7,2022-07,50982.0
Baoshan,2501,2022,8,2022-08,50635.0
Baoshan,2501,2022,9,2022-09,48198.0
Baoshan,2501,2022,10,2022-10,48974.0
Baoshan,2501,2022,11,2022-11,50359.0
Baoshan,2501,2022,12,2022-12,46928.0
Baoshan,2501,2023,1,2023-01,50921.0
Baoshan,2501,2023,2,2023-02,52628.0
Baoshan,2501,2023,3,2023-03,53400.0
Baoshan,2501,2023,4,2023-04,54462.0
Baoshan,2501,2023,5,2023-05,52261.0
Baoshan,2501,2023,6,2023-06,52686.0
Baoshan,2501,2023,7,2023-07,50172.0
Baoshan,2501,2023,8,2023-08,52372.0
Baoshan,2501,2023,9,2023-09,53636.0
Baoshan,2501,2023,10,2023-10,53034.0
Baoshan,2501,2023,11,2023-11,50519.0
Baoshan,2501,2023,12,2023-12,49745.0
Baoshan,2501,2024,1,2024-01,51956.0
Baoshan,2501,2024,2,2024-02,50576.0
Baoshan,2501,2024,3,2024-03,49042.0
Baoshan,2501,2024,4,2024-04,49659.0
Baoshan,2501,2024,5,2024-05,49455.0
Baoshan,2501,2024,6,2024-06,49493.0
Baoshan,2501,2024,7,2024-07,49041.0
Baoshan,2501,2024,8,2024-08,50145.0
Baoshan,2501,2024,9,2024-09,48490.0
Baoshan,2501,2024,10,2024-10,47739.0
Baoshan,2501,2024,11,2024-11,48091.0
Baoshan,2501,2024,12,2024-12,46697.0
Baoshan,2501,2025,1,2025-01,47836.0
Baoshan,2501,2025,2,2025-02,47544.0
Baoshan,2501,2025,3,2025-03,45300.0
Baoshan,2501,2025,4,2025-04,45400.0
Baoshan,2501,2025,5,2025-05,45800.0
Baoshan,2501,2025,6,2025-06,45300.0
Baoshan,2501,2025,7,2025-07,44800.0
Baoshan,2501,2025,8,2025-08,46000.0
Baoshan,2501,2025,9,2025-09,45800.0
Baoshan,2501,2025,10,2025-10,44100.0
Baoshan,2501,2025,11,2025-11,43400.0
Baoshan,2501,2025,12,2025-12,44200.0
Changning,2500,2015,1,2015-01,39572.0
Changning,2500,2015,2,2015-02,39642.0
Changning,2500,2015,3,2015-03,39439.0
Changning,2500,2015,4,2015-04,40011.0
Changning,2500,2015,5,2015-05,40352.0
Changning,2500,2015,6,2015-06,41072.0
Changning,2500,2015,7,2015-07,41906.0
Changning,2500,2015,8,2015-08,41847.0
Changning,2500,2015,9,2015-09,42676.0
Changning,2500,2015,10,2015-10,43240.0
Changning,2500,2015,11,2015-11,44252.0
Changning,2500,2015,12,2015-12,45670.0
Changning,2500,2016,1,2016-01,47960.0
Changning,2500,2016,2,2016-02,50160.0
Changning,2500,2016,3,2016-03,56880.0
Changning,2500,2016,4,2016-04,58883.0
Changning,2500,2016,5,2016-05,59218.0
Changning,2500,2016,6,2016-06,59938.0
Changning,2500,2016,7,2016-07,59691.0
Changning,2500,2016,8,2016-08,60252.0
Changning,2500,2016,9,2016-09,61593.0
Changning,2500,2016,10,2016-10,63877.0
Changning,2500,2016,11,2016-11,65453.0
Changning,2500,2016,12,2016-12,65838.0
Changning,2500,2017,1,2017-01,65987.0
Changning,2500,2017,2,2017-02,65627.0
Changning,2500,2017,3,2017-03,66505.0
Changning,2500,2017,4,2017-04,67366.0
Changning,2500,2017,5,2017-05,70936.0
Changning,2500,2017,6,2017-06,71111.0
Changning,2500,2017,7,2017-07,71494.0
Changning,2500,2017,8,2017-08,69473.0
Changning,2500,2017,9,2017-09,69551.0
Changning,2500,2017,10,2017-10,67964.0
Changning,2500,2017,11,2017-11,67764.0
Changning,2500,2017,12,2017-12,67473.0
Changning,2500,2018,6,2018-06,70633.0
Changning,2500,2018,7,2018-07,70643.0
Changning,2500,2018,8,2018-08,71114.0
Changning,2500,2018,9,2018-09,70703.0
Changning,2500,2018,10,2018-10,70801.0
Changning,2500,2018,11,2018-11,70973.0
Changning,2500,2018,12,2018-12,70772.0
Changning,2500,2019,1,2019-01,70060.0
Changning,2500,2019,2,2019-02,70740.0
Changning,2500,2019,3,2019-03,70680.0
Changning,2500,2019,4,2019-04,71404.0
Changning,2500,2019,5,2019-05,70163.0
Changning,2500,2019,6,2019-06,70653.0
Changning,2500,2019,7,2019-07,70212.0
Changning,2500,2019,8,2019-08,70663.0
Changning,2500,2019,9,2019-09,70341.0
Changning,2500,2019,10,2019-10,70312.0
Changning,2500,2019,11,2019-11,70423.0
Changning,2500,2019,12,2019-12,68618.0
Changning,2500,2020,1,2020-01,69020.0
Changning,2500,2020,2,2020-02,67139.0
Changning,2500,2020,3,2020-03,68639.0
Changning,2500,2020,4,2020-04,67515.0
Changning,2500,2020,5,2020-05,66465.0
Changning,2500,2020,6,2020-06,68677.0
Changning,2500,2020,7,2020-07,66599.0
Changning,2500,2020,8,2020-08,69823.0
Changning,2500,2020,9,2020-09,69415.0
Changning,2500,2020,10,2020-10,70440.0
Changning,2500,2020,11,2020-11,73327.0
Changning,2500,2020,12,2020-12,72495.0
Changning,2500,2021,1,2021-01,76364.0
Changning,2500,2021,2,2021-02,76310.0
Changning,2500,2021,3,2021-03,80221.0
Changning,2500,2021,4,2021-04,77634.0
Changning,2500,2021,5,2021-05,79617.0
